"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","20","4449","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","20","2","2","1","3.200992","0","3"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","20","5","2","1","8.043631","0","15"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","20","3","1","1","4.837101","0","8"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","20","3","3","1","4.513423","0","4"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","20","16","2","1","70.458504","0","98"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","20","5","1","1","6.825112","0","21"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","20","5","1","1","6.293452","0","19"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","20","2","2","1","2.804162","0","3"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","20","27","1","1","71.017029","0","411"
"/AirSim/StarterContent/Particles/Materials/m_flare_01.m_flare_01","20","12","1","1","16.242834","0","89"
"/AirSim/HUDAssets/SubWindow_Mat.SubWindow_Mat","20","9","1","1","7.777941","0","53"
"/AirSim/HUDAssets/OpticalFlowRGBMaterial.OpticalFlowRGBMaterial","20","4","0","1","0.000000","0","0"
"/AirSim/HUDAssets/OpticalFlowMaterial.OpticalFlowMaterial","20","4","0","1","0.000000","0","0"
"/AirSim/HUDAssets/InfraredMaterial.InfraredMaterial","20","4","1","1","3.947088","0","13"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","20","8","1","1","9.978186","0","45"
"/Engine/VREditor/TransformGizmo/Xray.Xray","20","12","1","1","51.578079","0","81"
"/Engine/VREditor/TransformGizmo/Main.Main","20","3","1","1","4.181019","0","8"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","20","3","1","1","4.156030","0","8"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","20","3","1","1","3.799770","0","8"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","20","24","1","1","104.761108","0","306"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","20","10","2","1","13.035480","0","70"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","20","23","1","1","22.741867","0","294"
"/AirSim/HUDAssets/SceneDepthVisMaterial.SceneDepthVisMaterial","20","4","1","1","4.093995","0","13"
"/AirSim/VehicleAdv/SUV/AutomotiveMaterials/Materials/CaliperPaint/M_Caliper.M_Caliper","20","33","1","1","145.192764","0","544"
"/AirSim/Models/MiniQuadCopter/Prop_Red_Plastic.Prop_Red_Plastic","20","12","1","1","56.000847","0","89"
"/AirSim/Models/MiniQuadCopter/Prop_White_Plastic.Prop_White_Plastic","20","12","1","1","55.009201","0","89"
"/Game/Geometry/Meshes/CubeMaterial.CubeMaterial","20","21","1","1","98.247040","0","236"
"/AirSim/VehicleAdv/SUV/AutomotiveMaterials/Materials/Glass/Headlights.Headlights","20","24","1","1","104.569077","0","295"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","20","47","1","1","271.875061","0","1003"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","20","47","1","1","268.737518","0","802"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","20","47","2","1","264.464966","0","561"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","20","24","1","1","104.796143","0","258"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","20","5","2","1","6.029595","0","17"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","20","2","2","1","2.961774","0","3"
"/AirSim/StarterContent/Particles/Materials/M_smoke_subUV.M_smoke_subUV","20","54","1","1","233.615860","0","660"
"/AirSim/StarterContent/Particles/Materials/M_radial_ramp.M_radial_ramp","20","12","3","1","15.951912","0","73"
"/AirSim/StarterContent/Particles/Materials/M_explosion_subUV.M_explosion_subUV","20","9","1","1","12.040257","0","46"
"/AirSim/StarterContent/Particles/Materials/M_Burst.M_Burst","20","15","1","1","17.792961","0","96"
"/AirSim/HUDAssets/CameraDistortion.CameraDistortion","20","4","1","1","4.221563","0","11"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","20","44","11","2","65.152557","0","556"
"/AirSim/StarterContent/Materials/M_Tech_Hex_Tile_Pulse.M_Tech_Hex_Tile_Pulse","20","21","1","1","95.395729","0","152"
"/AirSim/HUDAssets/SegmentationMaterial.SegmentationMaterial","20","4","1","1","3.847760","0","13"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","20","8","1","1","9.901059","0","40"
"/ControlRig/M_Manip.M_Manip","20","8","1","1","10.081425","0","32"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","20","4","2","1","4.049553","0","11"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","20","2","2","1","2.734973","0","2"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","20","49","9","6","59.994446","0","253"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","20","68","1","1","200.298019","0","780"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","20","6","1","1","6.532291","0","23"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","20","87","8","1","159.059097","0","1547"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","20","123","1","1","563.493652","0","1862"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","20","747","1","1","2019.443359","0","40047"
"/AirSim/HUDAssets/DepthVisMaterial.DepthVisMaterial","20","4","1","1","3.688216","0","11"
"/AirSim/HUDAssets/DepthPerspectiveMaterial.DepthPerspectiveMaterial","20","4","1","1","3.796112","0","13"
"/AirSim/HUDAssets/DomainRandomizationMaterial.DomainRandomizationMaterial","20","12","1","1","52.214264","0","70"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","20","4","1","1","3.806008","0","13"
